Friends
Opposite sex
Opposite sex
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
Opposite sex
No difference
Same sex
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
Same sex
Opposite sex
No difference
No difference
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Same sex
No difference
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
Same sex
Opposite sex
No difference
Same sex
No difference
No difference
No difference
No difference
No difference
No difference
No difference
No difference
Same sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Same sex
No difference
No difference
No difference
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
No difference
No difference
Same sex
Same sex
No difference
Same sex
No difference
No difference
Same sex
No difference
No difference
Opposite sex
Same sex
Opposite sex
Opposite sex
Opposite sex
No difference
Same sex
Same sex
No difference
No difference
Opposite sex
Same sex
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
Same sex
Opposite sex
No difference
Opposite sex
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
Same sex
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
Same sex
Opposite sex
Opposite sex
Same sex
No difference
Opposite sex
Same sex
Opposite sex
No difference
No difference
No difference
No difference
No difference
No difference
Same sex
Opposite sex
No difference
No difference
No difference
Same sex
No difference
Same sex
No difference
No difference
No difference
Same sex
Same sex
No difference
Opposite sex
Same sex
Opposite sex
Opposite sex
Same sex
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
Same sex
No difference
No difference
Same sex
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
Same sex
No difference
Opposite sex
Opposite sex
Same sex
No difference
No difference
Same sex
No difference
Same sex
Opposite sex
Opposite sex
No difference
Opposite sex
Same sex
Opposite sex
No difference
Opposite sex
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
Same sex
No difference
Opposite sex
Same sex
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Same sex
No difference
No difference
Same sex
Same sex
No difference
No difference
Same sex
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
No difference
No difference
Same sex
Opposite sex
Opposite sex
No difference
No difference
Same sex
No difference
Same sex
Opposite sex
No difference
Opposite sex
Opposite sex
Same sex
No difference
Opposite sex
No difference
No difference
Opposite sex
No difference
No difference
Same sex
No difference
Opposite sex
Same sex
Opposite sex
No difference
Same sex
Same sex
No difference
No difference
Opposite sex
Opposite sex
Same sex
Opposite sex
No difference
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
Opposite sex
Opposite sex
Same sex
No difference
Same sex
No difference
No difference
No difference
No difference
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Same sex
No difference
Same sex
Opposite sex
Same sex
Same sex
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
Opposite sex
Same sex
No difference
Opposite sex
Same sex
Same sex
Opposite sex
No difference
No difference
Opposite sex
Same sex
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
Same sex
Same sex
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
Same sex
Same sex
Same sex
No difference
Opposite sex
No difference
No difference
No difference
Same sex
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Same sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
No difference
No difference
No difference
Opposite sex
No difference
Same sex
No difference
Opposite sex
Opposite sex
No difference
No difference
Same sex
Opposite sex
Opposite sex
Opposite sex
No difference
Opposite sex
Same sex
Opposite sex
Same sex
Opposite sex
No difference
No difference
Opposite sex
No difference
Same sex
No difference
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
No difference
No difference
No difference
Opposite sex
No difference
No difference
Same sex
No difference
No difference
Same sex
Opposite sex
Same sex
Same sex
Same sex
Same sex
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
Same sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Same sex
Opposite sex
No difference
No difference
Opposite sex
Same sex
No difference
Same sex
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
Same sex
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
Same sex
No difference
No difference
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
Same sex
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
Same sex
No difference
No difference
Opposite sex
No difference
No difference
Opposite sex
Same sex
Same sex
No difference
No difference
No difference
No difference
No difference
Opposite sex
No difference
No difference
Opposite sex
Same sex
Opposite sex
Opposite sex
Opposite sex
Opposite sex
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
Same sex
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
Opposite sex
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
Opposite sex
Same sex
No difference
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
No difference
Opposite sex
Same sex
Same sex
No difference
No difference
No difference
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
No difference
Same sex
Opposite sex
Opposite sex
Opposite sex
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
Opposite sex
Same sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
Same sex
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
Same sex
Opposite sex
No difference
No difference
Same sex
Opposite sex
No difference
No difference
Same sex
No difference
No difference
No difference
No difference
No difference
No difference
Same sex
Same sex
No difference
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
Same sex
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
No difference
Same sex
Opposite sex
Same sex
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
Same sex
Same sex
No difference
Same sex
Opposite sex
Opposite sex
Opposite sex
Same sex
No difference
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Same sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Same sex
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
Same sex
No difference
Opposite sex
Same sex
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
Same sex
Same sex
No difference
Same sex
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
Opposite sex
Same sex
Opposite sex
Same sex
No difference
No difference
Same sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
Same sex
Opposite sex
No difference
Opposite sex
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
Same sex
No difference
No difference
Same sex
Opposite sex
No difference
Same sex
No difference
No difference
Opposite sex
Same sex
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
Same sex
No difference
No difference
No difference
No difference
No difference
No difference
Same sex
No difference
Opposite sex
No difference
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
Same sex
Opposite sex
Same sex
Opposite sex
Same sex
Opposite sex
No difference
No difference
No difference
Opposite sex
No difference
No difference
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
Opposite sex
No difference
No difference
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
Opposite sex
No difference
No difference
No difference
No difference
No difference
No difference
No difference
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
No difference
No difference
Same sex
Opposite sex
Opposite sex
No difference
Same sex
Opposite sex
No difference
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Opposite sex
Opposite sex
No difference
Same sex
No difference
Opposite sex
No difference
Opposite sex
No difference
